show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1253,Movie,Problems,Neville Shah,Azeem Banatwalla,India,,2018,13+,68 min,"Arts, Entertainment, and Culture","Azeem Banatwalla's second stand-up special is a wickedly dark show that taps into the inner, evil voice in the back of all our heads, and uses it to solve the biggest problems plaguing the country - stupidity, moral policing, racism, indoctrination, overpopulation, Kashmir, the government, and of course, Pigeons. There's also a joke about Salman, if that's what you're into. Nobody's judging you."
s1254,TV Show,Prisoners' Wives,,"Pippa Haywood, Polly Walker, Phoebe Dynevor, Iain Glen, Harry McEntire, Adam Gillen, Don Gayle, David Bradley, Adrian Rawlins, Phillip Mulhern, Emma Rigby, Natalie Gavin",,,2013,18+,2 Seasons,Drama,"Behind every prisoner, there's someone doing time on the outside. These are the stories of women struggling with the fall-out from their loved ones' imprisonment."
s1255,Movie,Prisoner X,Gaurav Seth,"Michelle Nolden, Romano Orzari",,,2017,16+,88 min,Science Fiction,"As the world rages in war and civil strife, CIA agent Carmen Reese arrives at a secret underground prison to interrogate a captured terrorist with links to recent attacks on American soil. But the prisoner is more than he appears - he has arrived from the future with ninety-eight other time travelers who are still at large and wreaking havoc across the globe."
s1256,Movie,Prison Shadows (1936),Robert F. Hill,"Edward J. Nugent, Lucille Lund, Joan Barclay, Forrest Taylor, Syd Saylor, Monte Blue, Corky the dog",,,1936,NR,73 min,"Action, Drama, Suspense","Rising young boxing star Gene Harris (Nugent) is sent to prison after one of his opponents dies in the ring. Gene is paroled to a fight promoter who advertises him as ""Killer"" Harris, and is aided his schemes by Gene's fiancee, the wicked Claire (Lund), and a crooked fight manager. The trio plot to have Gene kill all his opponents so they can get rich quick from all the publicity. Added to the mix are subplots involving Mary (Barclay), the promoter's secretary, who has fallen in love with Gene, but who doesn't notice her due to Claire's evil charms. Also, Gene's dog nearly steals the show in constantly interrupting Gene from dunking his donuts, and later becoming a dog detective helping Mary and Gene get to the bottom of the criminal plots against him."
s1257,Movie,Princesses Of The World,Janson Media,,,,2009,ALL,48 min,Documentary,"Presenting a fascinating portrait of the most beautiful and beloved royal women of the past 50 years, we take a regal tour of the romance, happiness, heartache, tragedy and controversy that is the life of these modern-day fairytale princesses. Diana, Fergie, Mary, Grace and more are covered here."
s1258,TV Show,Princess Principal,,,,,2017,TV-14,1 Season,"Action, Adventure, Anime","Five girls attend Queen's Mayfaire, a conventional and prestigious school. Under the guise of regular high school girls, they act as spies under cover."
s1259,Movie,Princess Castle,Diane Paloma Eskenazi,,,,2016,ALL,46 min,Kids,"Claire dreams of being a princess in a far away land. She finds a secret door under the stairs, an enchanted trunk, a magical locket and an invitation that whisks them away to a magical kingdom. Produced by Golden Films/Directed by Diane Eskenazi."
s1260,TV Show,Prime Suspect: Tennison,,,,,2017,TV-14,1 Season,"Drama, Historical, Suspense","This is the much-anticipated prequel to award-winning global hit Prime Suspect. Rewind to 1970s London to portray the early career of the formidable DCI Jane Tennison (Stefanie Martini), the role that established Dame Helen Mirren as a household name. We meet Jane as an ambitious 22-year-old probationary officer, starting out as a WPC in a world where chauvinism and rule-bending are the norm."
s1261,TV Show,Prime Rewind: Inside The Boys,,"Aisha Tyler, Karl Urban, Laz Alonso",United States,,2020,18+,1 Season,Talk Show and Variety,"""The Boys"" Official After Show, hosted by Aisha Tyler and featuring the creators and cast from the series, including Karl Urban (Butcher), Jack Quaid (Hughie), Antony Starr (Homelander), Erin Moriarty (Starlight), Laz Alonso (Mother's Milk), Tomer Capon (Frenchie), Karen Fukuhara (Kimiko), and showrunner Eric Kripke."
s1262,Movie,Prime Live Events: Blondie Live at Round Chapel (4K UHD),Jackson Ducasse,,,,2017,ALL,72 min,Music Videos and Concerts,"Get up close and personal with new wave pioneers, Blondie. The legendary New Yorkers are responsible for some of modern music's most enduring songs, including ""Call Me"", ""Atomic"", ""Heart of Glass"" and other anthems from their 70s and 80s heyday. Blondie perform for only 750 fans at the intimate Round Chapel, Hackney."
s1263,TV Show,PRIME JAPAN [HD/SD ver] (English Subtitled),,Jonathan Sherr,,,2017,TV-NR,1 Season,Documentary,"A series of in-depth reporting in pursuit of ""Japan's Heart"" by taking up themes ranging from sushi, sake, Japanese sword and other traditional cultural elements, to design, fashion and other items that add color to Japan of today, in 4K UHD. Featuring Jonathan Sherr and narration by Takako Tokiwa. Directed by Hiromi Kusaka, (C) TBS Vision Inc."
s1264,TV Show,PRIME JAPAN (4K UHD),,Jonathan Sherr,,,2017,ALL,1 Season,TV Shows,"A series of in-depth reporting in pursuit of ""Japan's Heart"" by taking up themes ranging from sushi, sake, Japanese sword and other traditional cultural elements, to design, fashion and other items that add color to Japan of today, in 4K UHD. Featuring Jonathan Sherr and narration by Takako Tokiwa. Directed by Hiromi Kusaka, (C) TBS Vision Inc."
s1265,TV Show,Primal Grill with Steven Raichlen,,Steven Raichlen,,,2010,TV-G,1 Season,Special Interest,"Global grilling authority Steven Raichlen returns to offer viewers more step-by-step techniques for creating mouth-watering barbecue dishes in Primal Grill with Steven Raichlen. In season 3, Steven goes global, with a sizzling exploration of grilling around the world - from Balinese lemongrass prawns and Brazilian fogo de chao (campfire barbecue) to South Africa's fiery piri piri chicken wings."
s1266,TV Show,Prey,,"Philip Glenister, Rosie Cavaliero",,,2015,TV-14,2 Seasons,"Drama, Suspense","Prison officer Dave Murdoch finds life has suddenly become much more complicated when a routine visit to a Manchester hospital with female prisoner Jules Hope spirals out of control. When his heavily pregnant daughter Lucy is kidnapped, Dave has no choice but to go on the run with Jules."
s1267,TV Show,Presunto Culpable,,"Miguel angel Muñoz, Susi Sanchez, Elvira Minguez, Josean Bengoetxea, Tomas del Estal, Itziar Atienza, Teresa Hurtado de Ory, Carlos Serrano, Kiko Rossi, Alejandra Onieva, Irene Montalà, Carol Rovira, Eduardo Rosa, Iñaki Font, Jon Mendia, Asier Iturriaga, Pablo Scola, Marta Castellote, Maialen Vega",,,2018,NR,1 Season,"Drama, Suspense","Jon, un investigador que vuelve a su pueblo desde Francia para enfrentarse a un terrible suceso y a la oposición de los vecinos, que sospechan que fue el asesino de su novia."
s1268,TV Show,Press Your Luck,,Peter Tomarken,,,1984,TV-G,1 Season,Unscripted,"Three players use spins on a wheel to collect cash and prizes while trying to avoid the ""Whammy"" who bankrupts a player."
s1269,Movie,Prescription Thugs,Christopher Bell,"Christopher Bell, Matthew ""Horshu"" Wiese, Chris Leben, Ted Lieu, Richard Taite, David Healy, Greg Critser",,,2015,PG-13,86 min,"Documentary, Special Interest, Sports","In this follow-up to his film 'Bigger Stronger Faster,' director Chris Bell turns his camera on the abuse of prescription drugs and, ultimately, himself."
s1270,Movie,Prema Pipasi,Murali Ramaswamy,"GPS, Suman, Kapilakshi Malhotra, Sonakshi Varma",,,2021,18+,132 min,Romance,"Prema Pipasi is about a frustrated man whose journey begins with the search for true love. Something that is holy & pure. The relationships that unfold in his journey of love are the things to watch out for. Each relationship opens up anew dimension that was never seen & expressed before. Amidst all the drama, romance, comedy& thrill, will he finally get the love he is looking for ?"
s1271,TV Show,Preachers' Daughters,,"Audrey Perry, Cheryl Perry",,,2013,TV-PG,1 Season,"Drama, Unscripted","This provocative series follows the families of 3 church pastors to offer a behind-the-altar look at what happens at home after the sermon ends. It's a revealing, hard-hitting and often humorous look at how the daughters try to balance typical teenage temptations with their parents' strict, faith-based expectations. What happens will surprise viewers and change these families forever."
s1272,Movie,Prayer Never Fails,Wes Miller,"Corbin Bernsen, Lorenzo Lamas, Eric Roberts, Nick Lashaway, Lynn Whitfield, Clifton Davis",,,2017,7+,98 min,"Drama, Faith and Spirituality","When a high school basketball coach is fired for praying with one of his players, he follows God's calling and hires an agnostic, gambling lawyer to file a lawsuit. Starring Corbin Bernsen, Lorenzo Lamas, and Eric Roberts."
s1273,TV Show,Pramface,,"Sean Michael Verey, Scarlett Alice Johnson, Angus Deayton, Anna Chancellor",,,2014,TV-14,3 Seasons,"Comedy, Young Adult Audience","As far as Jamie's concerned his relationship with Laura is now on track. It's his final year of school and he's starting to plan for his future. He's got it all figured out and it would all be so much easier if Laura felt the same. University is beckoning and there's a niggling thought that just won't go away: Is Jamie, sweet as he is, the best she can do?"
s1274,Movie,Power Douglas,,,,,2008,NR,19 min,Music Videos and Concerts,"Power Douglas plow their way through a barraging blitz of hardcore, jazz spazz, and afro beat elements in Brooklyn."
s1275,Movie,Powder Blue,Timothy Linh Bui,"Jessica Biel, Ray Liotta, Eddie Redmayne, Forest Whitaker, Kris Kristofferson, Lisa Kudrow, Patrick Swayze",United States,,2009,R,106 min,"Drama, Suspense","On the gritty streets of LA, the destinies of four people desperate for connection and redemption are about to collide. Jessica Biel, Ray Liotta, Forest Whitaker and Eddie Redmayne lead a top-notch cast in this powerful thriller about an overwhelmed erotic dancer, a grieving husband who has lost his will to live, a terminally ill ex-con and a pathologically shy mortician."
s1276,TV Show,Postcards from Buster,,,,,2012,TV-Y,1 Season,Kids,"Buster Baxter of ""Arthur"" fame travels around the world with his family."
s1277,Movie,Possessed,Steven E. de Souza,"Timothy Dalton, Jonathan Malen, Henry Czerny, Michael Rhoades, Shannon Lawson, Christopher Plummer, Piper Laurie, Richard Waugh, Michael McLacklan",,,2000,16+,110 min,"Drama, Horror, Special Interest","Inspired by the true account of the first documented exorcism performed in America detailed in the book of the same name, ""Possessed"" tells the story that was suppressed for nearly half a century. After the death of his aunt, eleven-year-old Robbie Manheim begins to exhibit strange behavior, and his parents turn to troubled priest Father William Bowdern for help after science fails."
s1278,Movie,Posse,Kirk Douglas,"Kirk Douglas, Bruce Dern, Bo Hopkins",,,1975,PG,93 min,"Action, Drama, Western","A tough marshal with political ambitions leads an elite posse to capture a notorious criminal. He succeeds, but instead of cheering him, the public turns against him."
s1279,Movie,Portastatic,,,,,2011,NR,42 min,Music Videos and Concerts,"Mac McCaughan and company take their seasoned act to Jersey in support of ""Be Still Please"" from Portastatic."
s1280,Movie,Port of New York,Laslo Benedek,,,,1949,NR,82 min,"Action, Drama",Two narcotics agents go after a gang of murderous drug dealers who use ships docking at the New York harbor to smuggle in their contraband.
s1281,Movie,Porky's Revenge,James Komach,"Dan Monahan, Mark Herrier, Wyatt Knight, Tony Ganios, Kaki Hunter",,,1985,R,93 min,"Comedy, Young Adult Audience","As graduation nears for the class of 1955 at Angel Beach High, the gang once again faces off against their old enemy, Porky, who wants them to throw the school's championship basketball game because he's betting on the opposing team."
s1282,Movie,Porky's II: The Next Day,Bob Clark,"Dan Monahan, Mark Herrier, Wyatt Knight, Roger Wilson, Cyril O'Reilly, Tony Ganios, Kaki Hunter",,,1983,R,98 min,"Comedy, Young Adult Audience",The naughty high schoolers of Angel Beach High now seek revenge on a group of religious fanatics and corrupt politicians - all of whom want to shut down their Shakespeare production after they cast a Seminole transfer student in the lead.
s1283,Movie,Popular Nursery Rhymes,,"Elly, Eva",,,2019,ALL,22 min,Kids,"Catch Kids Camp at it's best! Sing along to some of the most popular nursery rhymes and kids song with Elly and Eva. This is the ultimate collection for children as it has a blend of nursery rhymes like 'Wheels on the Bus', 'Finger Family' and learning songs like ABC Song and Numbers Song. So hop on board and enjoy!"
s1284,Movie,Polylove,Charlie David,"Brent Everett, Steve Pena, Jayson Smith, Dr. Carrie Jenkins, Dr. Laurie Betito, Gabriel Clark, Caitlyn Roberts, Samantha Fraser",,,2019,,59 min,"LGBTQ, Special Interest","PolyLove explores non-monogamy and the journey to redefine a relationship. Statistically more young people are now saying I don't or I delay than I do. Brace yourself, because we are going to a place where bravery and honesty are essential. A place where loving someone enough to set them free isn't just a trite metaphor, it's essential to your personal and relationship growth."
s1285,Movie,Pollyanna,Paul Powell,"Mary Pickford, Wharton James, Katherine Griffith, Helen Jerome Eddy",,,1920,NR,60 min,"Comedy, Drama, Kids","When Pollyanna is orphaned, she is sent to live with her crotchety Aunt Polly. Pollyanna discovers that many of the people in her aunt's New England home town are as ill-tempered as her aunt."
s1286,TV Show,Police Rescue,,"Gary Sweet, Sonia Todd, Steve Bastoni, John Clayton, Tammy Macintosh, Belinda Cotterill, Jeremy Callaghan",,,1991,16+,1 Season,"Action, Drama","When you work on the Police Rescue squad, trouble finds you. There are no slow days. No easy jobs. Every time the phone rings, it's a new emergency!"
s1287,TV Show,Poldark,,"Aidan Turner, Eleanor Tomlinson, Ellise Chappell, Tim Dutton, Beatie Edney, Jack Farthing, Kerri McLean, Luke Norris, Vincent Regan, Harry Richardson, Tristan Sturrock, Peter Sullivan, Pip Torrens, Gabriella Wilde, Tom York, Anthony Calf",,,2019,18+,5 Seasons,"Drama, Historical","Following the death of Elizabeth, Poldark resolves to put Westminster behind him. But when an old friend begs for help, Ross must challenge the establishment again, drawing the Poldarks into greater danger than ever before. UK Edition."
s1288,TV Show,Pokémon the Series: Gold and Silver,,"Ikue Ohtani, Veronica Taylor",,,2001,TV-Y7,4 Seasons,"Anime, Kids","Leaving Pallet Town behind them, Ash, Pikachu, Misty, and Brock are back on the road and heading for their next challenge: the Johto region!"
s1289,TV Show,Pointless Celebrities,,"Alexander Armstrong, Richard Osman",,,2016,7+,2 Seasons,"Special Interest, Unscripted",The brainy quiz returns for a new celebrity series in which celebrity contestants try to score as few points as possible by plumbing the depths of their general knowledge to come up with the answers no-one else could think of. Presented by Alexander Armstrong and Co Host Richard Osman.
s1290,Movie,Pocoyo in cinemas: Your First Movie,Alfonso Rodríguez,,,,2018,ALL,50 min,"Animation, Kids","The world is in danger and only Pocoyo and the Super Friends can save us! Nina, Pato and Elly will have to work as a team and overcome their fears to defeat a villain who threatens the peace of the Pocoyo World. Will they get out of this mess? But that is not all! Get ready to live funny stories, dance, sing and learn with Pocoyo!"
s1291,TV Show,Pocket.watch Onyx Family Ultimate mishmash,,"Mirthell Mitchell, Rita Mitchell, Shalom Mitchell, Sinead Mitchell, Sade Mitchell, Shiloh Mitchell",,,2020,TV-Y7,1 Season,Kids,"Onyx Family, popular vloggers best known for their silly and spooky skits, stars in the brand new series, pocket.watch Onyx Family Ultimate mishmash! Enjoy the scary but comedic scenarios cooked up by siblings Shiloh, Shasha, Sinead, and Shalom-AKA Onyx Kids-along with Onyx Mom and Onyx Dad, Rita and Mirthell, on the ultimate family-friendly entertainment adventure."
s1292,Movie,Pocket full of game,"David Holley, Deborah Cardona","Katherine K Nunez, Carlos Garcia, Joey Ortiz, David Holley",,,2020,18+,125 min,"Action, Romance","Porsha Garcia is a female huster who as it all Money ,beauty, respect. She earned it all by being loyal and respecting the code of the streets. A chance encounter with a stick up kid named Fresh introduces her to a whole new world."
s1293,TV Show,Plim Plim,,,,,2015,ALL,1 Season,"Animation, Kids","From amazing robots to magical words, delicious pizza to special kingdoms, Plim Plim is an animated series for all ages! Plim and his friends learn life lessons and make the world a better place together, one adventure at a time."
s1294,Movie,Playtime with Mila and Morphle,Arthur van Merwijk,,,,2019,ALL,43 min,"Animation, Kids","In this compilation of My Magic Pet Morphle cartoon, join Mila and Morphle as they go on magical adventures during their playtime with their friends!"
s1295,TV Show,Playful Kiss,,"Kim Hyun-joong, Jung So-min, Lee Tae-sung, Lee Si-young, Yoon Seung-ah",,,2010,13+,1 Season,"Comedy, Drama, Romance","In this K-drama romance, ditsy Oh Ha-ni confesses her love to studious school golden boy Seung-jo. After she gets rejected, an earthquake forces them to move in together. But can living in close quarters bring them closer, or pull them apart?"
s1296,Movie,Planet Of The Humans,Jeff Gibbs,"Al Gore, Bill McKibben, Richard Branson, Robert F. Kennedy Jr., Michael Bloomberg, Van Jones, Vinod Khosla, Vandana Shiva, Ozzie Zehner, Steven Running, Nina Jablonski, Stephen Churchill, Sheldon Solomon",,,2020,13+,100 min,"Documentary, Special Interest","""Planet of the Humans"" dares to say what no one will-that we are losing the battle to stop climate change by following leaders who have taken us down the wrong road-selling out the green movement to bankers and billionaires. This urgent, must-see movie is guaranteed to generate anger, debate, and, hopefully, a willingness to see our survival in a new way-before it's too late."
s1297,TV Show,Planet Egypt,,,,,2011,TV-14,1 Season,Documentary,"Planet Egypt recounts the epic history of Ancient Egypt and its Pharaohs, from the pre-dynastic period through to the late dynasties. Each episode addresses one aspect of Egypt’s enormous success, including the unlikely rise of its first powerful rulers, the wars they fought, the spiritual grounding that held the society together and the grand quest for immortality pursued by the Pharaohs."
s1298,Movie,Pit Stop,Yen Tan,"Bill Heck, Marcus DeAnda, Amy Seimetz",,,2014,18+,81 min,"LGBTQ, Romance","In this compelling drama, openly gay Ernesto and closeted Gabe grapple with the sad tribulations of being gay in a small, working-class Texas town. Reminiscent of such classic rural gay love stories as ""Big Eden"" and ""Brokeback Mountain,"" this festival hit is an uplifting love story about male intimacy, the heartache of unsuccessful relationships, and the transformative power of love."
s1299,TV Show,Pistorius,,,,,2018,13+,1 Season,TV Shows,"Pistorius is a four-part feature documentary about the South African Paralympic and Olympic sprinter Oscar Pistorius, who shot and killed his girlfriend in the early hours of Valentine’s Day 2013. The story of a man and a nation both born to great disadvantage, the film follows the challenges, hopes and triumphs of both and the demise of their dreams under the glare of the world media."
s1300,Movie,Piranha,Joe Dante,"Bradford Dillman, Heather Menzies, Kevin McCarthy, Keenan Wynn, Paul Bartel, Dick Miller, Barbara Steele",,,1978,R,94 min,"Horror, Science Fiction",Classic film tale with screenplay by John Sayles of fish attacking a sleepy resort river town. Original theatrical release grossed over $10 million domestic box office.
s1301,TV Show,Pinkfong! Wash Your Hands With Baby Shark,,,,,2020,ALL,1 Season,"Animation, Kids","Join the #BabySharkHandWashChallenge now! Follow the hand-washing steps along with the Baby Shark tune, and keep your hands nice & clean! Let's doo doo doo doo it together!"
s1302,TV Show,Pinkfong! Times Tables Songs,,,,,2014,ALL,1 Season,Kids,"Learn your multiplication tables with Pinkfong! Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1303,TV Show,Pinkfong! Time Songs,,,,,2017,ALL,1 Season,"Animation, Kids","Tick-tock, what time is it? Let's sing and learn how to tell time. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1304,TV Show,Pinkfong! Shape Songs,,,,,2015,ALL,1 Season,"Animation, Kids","Learn different shapes by singing along to Pinkfong Shape Songs! Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1305,TV Show,Pinkfong! Poki's Toy Lab,,,,,2021,ALL,1 Season,"Animation, Kids",Hi friends! Welcome to the genius inventor Poki's Toy Lab. What is Poki going to create today?
s1306,TV Show,Pinkfong! Outer Space Songs,,,,,2021,ALL,2 Seasons,"Animation, Kids",Follow along Pinkfong's journey to outer space! Learn about the eight planets in our solar system and more. Let's fly with Pinkfong and catch a glimpse of all these different planets!
s1307,TV Show,Pinkfong! Number Songs,,,,,2015,ALL,2 Seasons,"Animation, Kids","Sing along to fun children's songs and develop an understanding of numbers and counting skills while having fun. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1308,TV Show,Pinkfong! Learn Colors with Hogi,,,,,2021,ALL,2 Seasons,"Animation, Kids",Learn the colors of the rainbow with Hogi and friends! Wonderville is full of colorful characters. Follow Hogi and explore Wonderville!
s1309,TV Show,"Pinkfong! Hogi, the Detective",,,,,2021,ALL,1 Season,"Animation, Kids","Hogi is the best detective in Wonderville! With Hogi's extraordinary powers of observation, there's no case he cannot solve! Let's follow Hogi and the Wonderstar friends in their detective adventures!"
s1310,TV Show,Pinkfong! Halloween Songs,,,,,2017,ALL,3 Seasons,"Animation, Kids","It's time to celebrate Halloween with ghosts and monsters. Let's sing and dance with monster friends! Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1311,TV Show,Pinkfong! Fun Rhyming Songs,,,,,2021,ALL,1 Season,"Animation, Kids",Sing and learn new words with Pinkfong's rhyming songs! Are you ready to go on an adventure with Pinkfong? Repeat the words and dance to the rhythmic beats!
s1312,TV Show,Pinkfong! Fruit Songs,,,,,2021,ALL,1 Season,"Animation, Kids",Welcome to Fruit World! Follow Pinkfong and friends to the healthy and juicy world of fruits and veggies. Sing with Pinkfong to learn more about fruits!
s1313,TV Show,Pinkfong! Dinosaur Songs (Spanish Version),,,,,2014,ALL,1 Season,"Animation, Kids","Shake it! Shake it! Sing and move your body with awesome dinosaurs and learn their names. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1314,TV Show,Pinkfong! Dinosaur Musical Stories,,,,,2017,ALL,2 Seasons,"Animation, Kids","A collection of musical stories about kids' favorite dinosaurs. Stomp around with the ferocious T-Rex, fly with our chatty friend Pteranodon and much more. This collection of musical stories combines familiar tunes with entertaining stories to cater to all the curious little explorers."
s1315,Movie,Pinkfong! Dinosaur Friends,Pinkfong,,,,2017,ALL,67 min,"Animation, Kids",The ultimate collection of musical stories about kids' favorite dinosaurs is here! Join our dinosaur friends in their adventures to see the ferocious T-Rex or the chatty Pteranodon and many more. This compilation of musical stories combines familiar tunes with entertaining stories to cater to all the curious little explorers.
s1316,TV Show,Pinkfong! Coloring with Hogi,,,,,2020,ALL,2 Seasons,"Animation, Kids",Let's color our Wonderstar friends! Coloring with Hogi is a special series where kids can follow along and color with their favorite characters! What color would you choose?
s1317,TV Show,Pinkfong! Christmas Carols,,,,,2018,ALL,2 Seasons,"Animation, Kids","Merry Christmas! Let's celebrate the holiday with festive Christmas carols! Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1318,TV Show,Pinkfong! Car Songs (Spanish Version),,,,,2014,ALL,1 Season,"Animation, Kids","Sing along to fun children's songs and learn the names of various vehicles. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1319,TV Show,Pinkfong! Car Songs,,,,,2016,ALL,2 Seasons,"Animation, Kids","Sing along to fun children's songs and learn the names of various vehicles. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1320,TV Show,Pinkfong! Body Songs,,,,,2017,ALL,1 Season,"Animation, Kids","It's time to move your body and learn about different body parts. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1321,TV Show,Pinkfong! Best Kids Songs,,,,,2012,ALL,2 Seasons,Kids,"Sing, dance and play to kids' favorite nursery rhymes! Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1322,TV Show,Pinkfong! Bedtime Lullabies,,,,,2015,ALL,1 Season,"Animation, Kids","It's time to go to bed with bedtime lullabies. Listen to all time favorite lullabies that soothe your little ones! Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1323,TV Show,Pinkfong! Baby Shark's Day at Home,,,,,2021,ALL,1 Season,"Animation, Kids","How does Baby Shark's day look like at home? From getting up and brushing his teeth to going to bed, in this series you will be able to follow Baby Shark in his adventures all day!"
s1324,TV Show,Pinkfong! Baby Shark Special (Spanish Version),,,,,2017,ALL,1 Season,"Animation, Kids","Enjoy a collection of ""Baby Shark"" songs. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1325,TV Show,Pinkfong! Baby Shark Special,,,,,2017,ALL,1 Season,Kids,"Enjoy a collection of Baby Shark Special Songs. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by Pinkfong, the official creator of global hit Baby Shark behind #BabySharkChallenge."
s1326,TV Show,Pinkfong! Baby Shark Sing Along,,,,,2019,ALL,3 Seasons,"Animation, Kids","Ready for another underwater adventure? Come along with us for another sing-along spectacular with Baby Shark! From mermaid watching to Easter egg hunting, there is so much in store for this next chapter of our favorite sing-along songs."
s1327,TV Show,Pinkfong! Baby Shark Nursery Rhymes,,,,,2019,ALL,1 Season,"Animation, Kids","Are you ready, shark friends? Baby Shark needs your help! Have you seen Baby Shark's teeth? Together we can find them and meet some new sea friends along the way! Let's dive into a new adventure! Come explore with us!"
s1328,TV Show,Pinkfong! Baby Shark & More Animal Songs (Spanish Version),,,,,2016,ALL,1 Season,"Animation, Kids","Baby shark, doo, doo, doo, doo, doo, doo. Baby shark! Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by educational experts."
s1329,TV Show,Pinkfong! Baby Shark & Halloween Songs,,,,,2020,ALL,2 Seasons,"Animation, Kids","Happy Halloween, shark friends! Ready for some trick or treating? Lets get celebrate the Day of the Dead by getting spooky with Baby Shark! Boo!"
s1330,TV Show,Pinkfong! Baby Shark & Christmas Songs,,,,,2020,ALL,1 Season,"Animation, Kids",Baby Shark & Christmas Songs brings a joyful collection of holiday tunes for children of all ages to sing and dance during this Christmas time! Slide into the wintery season with Pinkfong & Baby Shark!
s1331,Movie,Pink Heat,Sean LaFollette,"Jordan Burgess, Adam Joseph Lopez, Joey Catalano, James Howey, Nick Catalano, Henry Frost III",United States,,2017,16+,78 min,"Action, Suspense","For her birthday this year, Elizabeth has been given two pink pistols and a reason to use them when a gang of vicious criminals murders her grandfather in cold blood. Packing her trusted pink heat, Elizabeth sets out to avenge her family, leaving a trail of bullet-riddled bodies in her wake."
s1332,Movie,Pink Floyd: The Dark Side of the Moon,"Tommy Vance, Graham McTavish",Pink Floyd,,,2020,,58 min,Documentary,"This film brings you the first-hand recollections of the band members selected from film and radio archives worldwide alongside classic performance footage. Also features interviews with Clare Torry, the vocalist behind the magnificent vocals on the track The Great Gig In The Sky, and George Hardie, Pink Floyd contemporary and the designer responsible for the classic refracting prism artwork."
s1333,TV Show,Pingu,,"Marcello Magni, David Sant",,,2005,TV-Y,6 Seasons,"Animation, Kids","Go fishing with Pingu! Catch up with this cool penguin as he drives a snowmobile, goes to Sled Academy, pogos up and down, and meets the Abominable Snowman!"
s1334,TV Show,Picnic at Hanging Rock,,"Natalie Dormer, Lily Sullivan, Lola Bessis, Harrison Gilbertson, Samara Weaving",,,2018,16+,1 Season,Drama,"A reimagining of the iconic Australian novel that plunges us into the mysterious disappearances of three schoolgirls and their governess on Valentine's Day, 1900. Exploring the event's far-reaching impact on the students and staff of Appleyard College, their enigmatic headmistress and the nearby township, theories soon abound, paranoia sets in, long-held secrets surface, and the mystery deepens."
s1335,TV Show,Picker Sisters,,,,,2011,TV-14,1 Season,"Special Interest, Unscripted",Best friends and noted interior designers Tracy Hutson and Tanya McQueen travel the country in search of rare relics they can use in their Los Angeles home decor shop.
